一向専念無量寿仏 ikkousennennmuryouzyubutu
天上天下唯我独尊 tenzyoutengeyuigadokuson
石の上にも三年 isinouenimosannnenn
井の中の蛙大海を知らず inonakanokawazutaigawosirazu
猿も木から落ちる sarumokikaraotiru
我が生涯に一片の悔いなし wagasyougainiippennnokuinasi
帰命無量寿如来 kimyoumuryouzyunyorai
不可説不可説転 hukasetuhukasetutenn
雨垂れ石を穿つ amadareisiwougatu
失敗と書いて成長と読む sippaitokaiteseityoutoyomu
頭隠して尻隠さず atamakakusitesirikakusazu
石橋を叩いて渡る isibasiwotataitewataru
犬も歩けば棒に当たる inumoarukebabouniataru
馬の耳に念仏 umanomimininennbutu
可愛い子には旅をさせよ kawaiikonihatabiwosaseyo
聞いて極楽見て地獄 kiitegokurakumitezigoku
背に腹は代えられぬ seniharahakaerarenu
千里の道も一歩から sennrinomitimoippokara
塵も積もれば山となる tirimotumorebayamatonaru
出る杭は打たれる derukuihautareru
取らぬ狸の皮算用 toranutanukinokawazanyou
飛んで火に入る夏の虫 tonndehiniirunatunomusi
大聖釈迦牟尼世尊 daisyousyakamunisesonn
